# table for coexisting phases in IAPWS06
nbin_coex    300
temperature_coex_min    1.231600e+02
temperature_coex_max    2.731600e+02
# temperature (degK)    pressure (Pa)    mden_vap (kg / m^3)    mden_ice (kg / m^3)    enthalpy_vap (J / kg)    enthalpy_ice (J / kg)    entropy_vap (J / kg / degK)    entropy_ice (J / kg / degK)
    1.23160000e+02    9.03910916e-10    1.59025684e-14    9.32173693e+02    2.22364435e+06    -5.67630458e+05    2.02542779e+04    -2.40953173e+03
    1.23660000e+02    1.10246295e-09    1.93172848e-14    9.32150127e+02    2.22456900e+06    -5.67107839e+05    2.01701262e+04    -2.40529691e+03
    1.24160000e+02    1.34251793e-09    2.34287821e-14    9.32126348e+02    2.22549365e+06    -5.66583478e+05    2.00866694e+04    -2.40106512e+03
    1.24660000e+02    1.63230763e-09    2.83717557e-14    9.32102356e+02    2.22641830e+06    -5.66057376e+05    2.00038990e+04    -2.39683634e+03
    1.25160000e+02    1.98160794e-09    3.43054801e-14    9.32078150e+02    2.22734296e+06    -5.65529535e+05    1.99218068e+04    -2.39261057e+03
    1.25660000e+02    2.40201168e-09    4.14180246e-14    9.32053731e+02    2.22826762e+06    -5.64999959e+05    1.98403848e+04    -2.38838781e+03
    1.26160000e+02    2.90724668e-09    4.99311450e-14    9.32029097e+02    2.22919229e+06    -5.64468650e+05    1.97596249e+04    -2.38416806e+03
    1.26660000e+02    3.51354603e-09    6.01059527e-14    9.32004250e+02    2.23011695e+06    -5.63935609e+05    1.96795193e+04    -2.37995130e+03
    1.27160000e+02    4.24007848e-09    7.22494753e-14    9.31979188e+02    2.23104162e+06    -5.63400840e+05    1.96000603e+04    -2.37573753e+03
    1.27660000e+02    5.10944808e-09    8.67222366e-14    9.31953912e+02    2.23196630e+06    -5.62864344e+05    1.95212402e+04    -2.37152674e+03
    1.28160000e+02    6.14827407e-09    1.03947019e-13    9.31928421e+02    2.23289097e+06    -5.62326123e+05    1.94430516e+04    -2.36731893e+03
    1.28660000e+02    7.38786073e-09    1.24418933e-13    9.31902715e+02    2.23381566e+06    -5.61786180e+05    1.93654870e+04    -2.36311410e+03
    1.29160000e+02    8.86497426e-09    1.48717051e-13    9.31876794e+02    2.23474034e+06    -5.61244517e+05    1.92885393e+04    -2.35891222e+03
    1.29660000e+02    1.06227384e-08    1.77517752e-13    9.31850659e+02    2.23566503e+06    -5.60701135e+05    1.92122013e+04    -2.35471331e+03
    1.30160000e+02    1.27116680e-08    2.11610065e-13    9.31824307e+02    2.23658972e+06    -5.60156037e+05    1.91364659e+04    -2.35051734e+03
    1.30660000e+02    1.51908601e-08    2.51913262e-13    9.31797741e+02    2.23751441e+06    -5.59609224e+05    1.90613262e+04    -2.34632430e+03
    1.31160000e+02    1.81293642e-08    2.99497007e-13    9.31770959e+02    2.23843911e+06    -5.59060698e+05    1.89867755e+04    -2.34213420e+03
    1.31660000e+02    2.16077571e-08    3.55604427e-13    9.31743961e+02    2.23936381e+06    -5.58510461e+05    1.89128069e+04    -2.33794703e+03
    1.32160000e+02    2.57199504e-08    4.21678460e-13    9.31716748e+02    2.24028851e+06    -5.57958514e+05    1.88394138e+04    -2.33376276e+03
    1.32660000e+02    3.05752637e-08    4.99391952e-13    9.31689320e+02    2.24121322e+06    -5.57404860e+05    1.87665898e+04    -2.32958139e+03
    1.33160000e+02    3.63007981e-08    5.90681959e-13    9.31661675e+02    2.24213793e+06    -5.56849499e+05    1.86943284e+04    -2.32540292e+03
    1.33660000e+02    4.30441512e-08    6.97788827e-13    9.31633815e+02    2.24306265e+06    -5.56292434e+05    1.86226232e+04    -2.32122733e+03
    1.34160000e+02    5.09765197e-08    8.23300639e-13    9.31605739e+02    2.24398736e+06    -5.55733665e+05    1.85514682e+04    -2.31705461e+03
    1.34660000e+02    6.02962402e-08    9.70203735e-13    9.31577447e+02    2.24491209e+06    -5.55173195e+05    1.84808570e+04    -2.31288475e+03
    1.35160000e+02    7.12328248e-08    1.14194005e-12    9.31548940e+02    2.24583681e+06    -5.54611023e+05    1.84107838e+04    -2.30871774e+03
