# table for coexisting phases in IAPWS95
nbin_coex    800
temperature_coex_min    2.731600e+02
temperature_coex_max    6.470900e+02
# temperature (degK)    pressure (Pa)    mden_vap (kg / m^3)    mden_liq (kg / m^3)    enthalpy_vap (J / kg)    enthalpy_liq (J / kg)    entropy_vap (J / kg / degK)    entropy_liq (J / kg / degK)
    2.73160000e+02    6.11654801e+02    4.85457599e-03    9.99792520e+02    2.50091519e+06    6.11781729e-01    9.15549338e+03    -8.19820745e-13
    2.73627413e+02    6.32745014e+02    5.01344903e-03    9.99822313e+02    2.50177269e+06    1.97269772e+03    9.14299380e+03    7.21328029e+00
    2.74094825e+02    6.54477185e+02    5.17686339e-03    9.99848191e+02    2.50263004e+06    3.94405188e+03    9.13054861e+03    1.44115748e+01
    2.74562238e+02    6.76868082e+02    5.34492860e-03    9.99870217e+02    2.50348725e+06    5.91469970e+03    9.11815750e+03    2.15950275e+01
    2.75029650e+02    6.99934835e+02    5.51775634e-03    9.99888451e+02    2.50434431e+06    7.88466570e+03    9.10582016e+03    2.87637777e+01
    2.75497063e+02    7.23694930e+02    5.69546034e-03    9.99902953e+02    2.50520122e+06    9.85397350e+03    9.09353629e+03    3.59179614e+01
    2.75964475e+02    7.48166228e+02    5.87815650e-03    9.99913780e+02    2.50605798e+06    1.18226459e+04    9.08130559e+03    4.30577104e+01
    2.76431888e+02    7.73366966e+02    6.06596293e-03    9.99920987e+02    2.50691459e+06    1.37907048e+04    9.06912774e+03    5.01831530e+01
    2.76899300e+02    7.99315760e+02    6.25899993e-03    9.99924628e+02    2.50777104e+06    1.57581715e+04    9.05700247e+03    5.72944142e+01
    2.77366713e+02    8.26031610e+02    6.45738999e-03    9.99924758e+02    2.50862733e+06    1.77250665e+04    9.04492946e+03    6.43916156e+01
    2.77834125e+02    8.53533924e+02    6.66125800e-03    9.99921425e+02    2.50948346e+06    1.96914093e+04    9.03290842e+03    7.14748755e+01
    2.78301538e+02    8.81842401e+02    6.87073020e-03    9.99914682e+02    2.51033943e+06    2.16572193e+04    9.02093911e+03    7.85443095e+01
    2.78768950e+02    9.10977416e+02    7.08593752e-03    9.99904575e+02    2.51119524e+06    2.36225148e+04    9.00902114e+03    8.56000301e+01
    2.79236363e+02    9.40959498e+02    7.30701098e-03    9.99891153e+02    2.51205088e+06    2.55873135e+04    8.99715426e+03    9.26421469e+01
    2.79703775e+02    9.71809673e+02    7.53408468e-03    9.99874461e+02    2.51290635e+06    2.75516328e+04    8.98533821e+03    9.96707672e+01
    2.80171188e+02    1.00354940e+03    7.76729521e-03    9.99854544e+02    2.51376165e+06    2.95154894e+04    8.97357268e+03    1.06685995e+02
    2.80638600e+02    1.03620055e+03    8.00678149e-03    9.99831447e+02    2.51461678e+06    3.14788992e+04    8.96185739e+03    1.13687934e+02
    2.81106013e+02    1.06978546e+03    8.25268499e-03    9.99805210e+02    2.51547174e+06    3.34418780e+04    8.95019207e+03    1.20676681e+02
    2.81573425e+02    1.10432687e+03    8.50514963e-03    9.99775877e+02    2.51632651e+06    3.54044408e+04    8.93857644e+03    1.27652336e+02
    2.82040838e+02    1.13984799e+03    8.76432180e-03    9.99743488e+02    2.51718111e+06    3.73666023e+04    8.92701022e+03    1.34614993e+02
    2.82508250e+02    1.17637250e+03    9.03035055e-03    9.99708081e+02    2.51803552e+06    3.93283765e+04    8.91549313e+03    1.41564746e+02
    2.82975662e+02    1.21392450e+03    9.30338744e-03    9.99669697e+02    2.51888975e+06    4.12897772e+04    8.90402490e+03    1.48501685e+02
    2.83443075e+02    1.25252861e+03    9.58358667e-03    9.99628371e+02    2.51974380e+06    4.32508177e+04    8.89260526e+03    1.55425899e+02
    2.83910488e+02    1.29220987e+03    9.87110505e-03    9.99584141e+02    2.52059765e+06    4.52115109e+04    8.88123394e+03    1.62337476e+02
    2.84377900e+02    1.33299385e+03    1.01661021e-02    9.99537043e+02    2.52145131e+06    4.71718691e+04    8.86991068e+03    1.69236501e+02
    2.84845313e+02    1.37490656e+03    1.04687399e-02    9.99487112e+02    2.52230478e+06    4.91319045e+04    8.85863520e+03    1.76123057e+02
    2.85312725e+02    1.41797455e+03    1.07791835e-02    9.99434381e+02    2.52315805e+06    5.10916288e+04    8.84740724e+03    1.82997228e+02
    2.85780138e+02    1.46222483e+03    1.10976005e-02    9.99378885e+02    2.52401113e+06    5.30510533e+04    8.83622654e+03    1.89859092e+02
    2.86247550e+02    1.50768494e+03    1.14241613e-02    9.99320655e+02    2.52486400e+06    5.50101891e+04    8.82509285e+03    1.96708728e+02
    2.86714963e+02    1.55438294e+03    1.17590393e-02    9.99259724e+02    2.52571666e+06    5.69690470e+04    8.81400589e+03    2.03546214e+02
    2.87182375e+02    1.60234738e+03    1.21024104e-02    9.99196123e+02    2.52656912e+06    5.89276371e+04    8.80296542e+03    2.10371625e+02
    2.87649788e+02    1.65160738e+03    1.24544539e-02    9.99129883e+02    2.52742137e+06    6.08859696e+04    8.79197117e+03    2.17185035e+02
    2.88117200e+02    1.70219256e+03    1.28153514e-02    9.99061032e+02    2.52827341e+06    6.28440543e+04    8.78102290e+03    2.23986518e+02
    2.88584613e+02    1.75413309e+03    1.31852879e-02    9.98989601e+02    2.52912523e+06    6.48019007e+04    8.77012035e+03    2.30776144e+02
    2.89052025e+02    1.80745970e+03    1.35644511e-02    9.98915617e+02    2.52997684e+06    6.67595179e+04    8.75926327e+03    2.37553983e+02
    2.89519438e+02    1.86220365e+03    1.39530318e-02    9.98839109e+02    2.53082822e+06    6.87169148e+04    8.74845142e+03    2.44320106e+02
    2.89986850e+02    1.91839680e+03    1.43512238e-02    9.98760103e+02    2.53167938e+06    7.06741002e+04    8.73768454e+03    2.51074578e+02
    2.90454263e+02    1.97607155e+03    1.47592242e-02    9.98678627e+02    2.53253032e+06    7.26310825e+04    8.72696239e+03    2.57817467e+02
    2.90921675e+02    2.03526088e+03    1.51772325e-02    9.98594707e+02    2.53338102e+06    7.45878698e+04    8.71628472e+03    2.64548838e+02
    2.91389088e+02    2.09599837e+03    1.56054522e-02    9.98508368e+02    2.53423150e+06    7.65444702e+04    8.70565130e+03    2.71268754e+02
