# table for melting phases in IAPWS06
nbin_melt    300
pressure_melt_min    6.116548e+02
pressure_melt_max    2.100000e+08
# pressure (Pa)    temperature (degK)    mden_liq (kg / m^3)    mden_ice (kg / m^3)    enthalpy_liq (J / kg)    enthalpy_ice (J / kg)    entropy_liq (J / kg / degK)    entropy_ice (J / kg / degK)
    6.11654771e+02    2.73160000e+02    9.99792520e+02    9.16709492e+02    6.11781681e-01    -3.33444254e+05    -5.73874521e-12    -1.22069434e+03
    6.38202857e+02    2.73159998e+02    9.99792533e+02    9.16709495e+02    6.30508921e-01    -3.33444230e+05    -2.86513421e-05    -1.22069436e+03
    6.65903229e+02    2.73159996e+02    9.99792547e+02    9.16709499e+02    6.50048645e-01    -3.33444206e+05    -5.85472894e-05    -1.22069438e+03
    6.94805899e+02    2.73159994e+02    9.99792562e+02    9.16709502e+02    6.70436637e-01    -3.33444180e+05    -8.97403120e-05    -1.22069440e+03
    7.24963052e+02    2.73159992e+02    9.99792577e+02    9.16709506e+02    6.91709448e-01    -3.33444153e+05    -1.22287560e-04    -1.22069442e+03
    7.56429138e+02    2.73159989e+02    9.99792593e+02    9.16709509e+02    7.13905577e-01    -3.33444125e+05    -1.56247357e-04    -1.22069445e+03
    7.89260969e+02    2.73159987e+02    9.99792610e+02    9.16709513e+02    7.37065210e-01    -3.33444096e+05    -1.91680895e-04    -1.22069447e+03
    8.23517823e+02    2.73159984e+02    9.99792627e+02    9.16709517e+02    7.61229909e-01    -3.33444066e+05    -2.28652809e-04    -1.22069450e+03
    8.59261551e+02    2.73159982e+02    9.99792645e+02    9.16709522e+02    7.86443581e-01    -3.33444034e+05    -2.67229036e-04    -1.22069452e+03
    8.96556690e+02    2.73159979e+02    9.99792664e+02    9.16709526e+02    8.12751439e-01    -3.33444001e+05    -3.07480190e-04    -1.22069455e+03
    9.35470576e+02    2.73159976e+02    9.99792683e+02    9.16709531e+02    8.40201287e-01    -3.33443967e+05    -3.49477943e-04    -1.22069458e+03
    9.76073469e+02    2.73159973e+02    9.99792704e+02    9.16709536e+02    8.68842585e-01    -3.33443931e+05    -3.93298564e-04    -1.22069461e+03
    1.01843868e+03    2.73159970e+02    9.99792725e+02    9.16709541e+02    8.98726917e-01    -3.33443893e+05    -4.39021342e-04    -1.22069464e+03
